region,drug_name,drug_category,items_prescribed,cost,deprivation_score,shortage_incidents,pharmacy_density,year
Newcastle-under-Lyme,Naproxen,General Medicine,386,2586.23,13,181,2.27,2022
East Staffordshire,Metformin,General Medicine,434,2307.85,26,74,1.77,2022
Cannock Chase,Codeine,General Medicine,544,2191.84,10,174,1.48,2024
Cannock Chase,Naproxen,General Medicine,287,1795.93,19,191,1.92,2023
Stafford and Surroundings,Clopidogrel,Cardiovascular,227,4312.36,14,45,1.48,2024
Newcastle-under-Lyme,Diazepam,Mental Health,334,3182.66,19,89,2.21,2023
Stoke-on-Trent,Omeprazole,General Medicine,587,4834.27,15,183,1.36,2024
Newcastle-under-Lyme,Metformin,General Medicine,324,4225.92,27,119,2.09,2022
Cannock Chase,Salbutamol,General Medicine,253,1627.71,21,119,2.06,2023
Cannock Chase,Codeine,General Medicine,214,,27,171,1.64,2023
Stafford and Surroundings,Metformin,General Medicine,306,1186.07,26,55,2.03,2022
Stoke-on-Trent,Salbutamol,General Medicine,448,109.47,11,114,1.48,2024
East Staffordshire,Hydrocortisone,General Medicine,547,3828.37,26,146,1.55,2022
Cannock Chase,Warfarin,Cardiovascular,557,2713.63,13,204,1.71,2023
Cannock Chase,Furosemide,Cardiovascular,154,4695.65,13,156,1.47,2022
Stafford and Surroundings,Fluoxetine,Mental Health,593,486.21,22,48,1.87,2023
East Staffordshire,Amoxicillin,Antibiotics,370,4676.78,23,191,1.37,2023
Stafford and Surroundings,Co-codamol,General Medicine,190,2843.43,13,82,1.54,2023
Stafford and Surroundings,Aspirin,General Medicine,214,1334.08,16,192,1.8,2023
Newcastle-under-Lyme,Diazepam,Mental Health,295,3278.36,25,186,2.47,2024
Stoke-on-Trent,Aspirin,General Medicine,105,2916.86,24,142,2.13,2022
Stoke-on-Trent,Clopidogrel,Cardiovascular,449,,18,125,1.35,2024
Newcastle-under-Lyme,Citalopram,Mental Health,125,4958.81,10,156,2.3,2024
Newcastle-under-Lyme,Morphine Sulfate,General Medicine,120,3265.16,23,86,2.43,2022
Newcastle-under-Lyme,Codeine,General Medicine,554,2468.23,10,45,2.25,2023
Newcastle-under-Lyme,Quetiapine,Mental Health,446,124.62,17,146,1.57,2023
Cannock Chase,Warfarin,Cardiovascular,510,2940.92,20,72,2.15,2023
Newcastle-under-Lyme,Fluoxetine,Mental Health,190,4129.15,29,206,1.44,2024
Cannock Chase,Bisoprolol,Cardiovascular,515,512.93,25,219,1.33,2023
Newcastle-under-Lyme,Tramadol,General Medicine,558,3431.11,13,48,1.68,2024
East Staffordshire,Bisoprolol,Cardiovascular,359,2836.08,29,183,1.95,2024
Stoke-on-Trent,Fluoxetine,Mental Health,127,725.35,21,56,1.68,2024
Stoke-on-Trent,Hydrocortisone,General Medicine,302,,12,55,1.78,2024
Cannock Chase,Amoxicillin,Antibiotics,210,4192.62,10,142,1.5,2024
Newcastle-under-Lyme,Insulin Glargine,General Medicine,129,632.18,16,84,2.08,2022
Cannock Chase,Hydrocortisone,General Medicine,384,159.68,13,73,1.86,2023
Cannock Chase,Losartan,Cardiovascular,425,3396.3,29,114,2.16,2022
Newcastle-under-Lyme,Insulin Glargine,General Medicine,387,3367.84,26,194,1.83,2023
Newcastle-under-Lyme,Doxycycline,Antibiotics,366,2509.77,23,108,1.64,2023
Cannock Chase,Paracetamol,General Medicine,403,4669.21,12,201,2.28,2024
Cannock Chase,Insulin Glargine,General Medicine,196,708.76,25,202,1.62,2023
Stafford and Surroundings,Quetiapine,Mental Health,416,2306.88,15,163,2.29,2023
Newcastle-under-Lyme,Doxycycline,Antibiotics,344,3570.03,13,153,1.43,2023
Stoke-on-Trent,Naproxen,General Medicine,132,2435.46,21,107,2.19,2024
East Staffordshire,Clopidogrel,Cardiovascular,316,3672.27,20,159,1.21,2023
East Staffordshire,Prednisolone,General Medicine,57,4833.68,17,158,2.16,2024
East Staffordshire,Sertraline,Mental Health,455,4569.93,26,194,2.34,2022
Newcastle-under-Lyme,Azithromycin,Antibiotics,335,4800.96,22,47,1.87,2022
East Staffordshire,Amoxicillin,Antibiotics,351,1201.99,17,164,1.2,2024
East Staffordshire,Atorvastatin,Cardiovascular,325,4474.44,13,73,1.64,2023
Stafford and Surroundings,Nitrofurantoin,Antibiotics,232,4582.29,27,111,2.11,2022
Cannock Chase,Levothyroxine,General Medicine,552,1292.04,28,212,2.25,2023
Cannock Chase,Amlodipine,Cardiovascular,312,1588.23,12,214,2.47,2023
Stoke-on-Trent,Sertraline,Mental Health,323,2829.07,29,154,1.34,2024
Cannock Chase,Hydrocortisone,General Medicine,146,1922.77,19,56,1.59,2022
Newcastle-under-Lyme,Aspirin,General Medicine,456,4863.27,29,125,1.64,2024
Stoke-on-Trent,Cetirizine,General Medicine,271,1666.13,24,162,2.01,2023
East Staffordshire,Quetiapine,Mental Health,326,3377.87,17,66,2.49,2024
Newcastle-under-Lyme,Clopidogrel,Cardiovascular,431,3620.8,11,95,1.98,2024
Cannock Chase,Aspirin,General Medicine,90,1238.44,13,43,2.01,2023
Newcastle-under-Lyme,Montelukast,General Medicine,221,,22,132,1.29,2023
Newcastle-under-Lyme,Naproxen,General Medicine,579,4288.26,16,54,1.82,2022
Stoke-on-Trent,Sertraline,Mental Health,250,1222.67,12,91,2.25,2023
Stoke-on-Trent,Bisoprolol,Cardiovascular,101,2116.66,24,168,1.78,2023
Stoke-on-Trent,Co-codamol,General Medicine,510,2642.56,15,133,1.44,2022
Stafford and Surroundings,Citalopram,Mental Health,88,3837.0,19,147,1.53,2023
Cannock Chase,Olanzapine,Mental Health,144,1732.12,18,52,2.02,2022
Newcastle-under-Lyme,Diazepam,Mental Health,230,3431.89,28,62,1.5,2024
Newcastle-under-Lyme,Cetirizine,General Medicine,218,1137.82,17,178,2.04,2024
Stoke-on-Trent,Doxycycline,Antibiotics,471,2442.68,24,111,2.37,2023
Newcastle-under-Lyme,Levothyroxine,General Medicine,210,4884.8,27,118,2.08,2024
Newcastle-under-Lyme,Pregabalin,General Medicine,51,4828.65,18,152,2.23,2022
Newcastle-under-Lyme,Amoxicillin,Antibiotics,224,1382.59,12,173,2.46,2024
Cannock Chase,Aspirin,General Medicine,156,,13,186,1.55,2024
Newcastle-under-Lyme,Salbutamol,General Medicine,346,884.36,11,124,1.53,2022
East Staffordshire,Nitrofurantoin,Antibiotics,405,,22,110,1.87,2022
Cannock Chase,Amoxicillin,Antibiotics,154,4638.42,21,133,1.7,2023
East Staffordshire,Warfarin,Cardiovascular,77,4898.38,29,88,2.28,2022
Stoke-on-Trent,Morphine Sulfate,General Medicine,75,2966.46,29,192,1.34,2022
East Staffordshire,Ramipril,Cardiovascular,464,2196.56,15,50,1.61,2023
Stoke-on-Trent,Paracetamol,General Medicine,77,4122.46,15,46,2.16,2024
Stafford and Surroundings,Doxycycline,Antibiotics,366,1468.4,23,80,2.38,2024
Stoke-on-Trent,Levothyroxine,General Medicine,546,1616.46,25,88,1.71,2024
Stoke-on-Trent,Doxycycline,Antibiotics,72,2441.6,22,93,2.24,2023
Cannock Chase,Codeine,General Medicine,408,2170.15,10,199,1.59,2022
Stafford and Surroundings,Aspirin,General Medicine,160,3589.11,21,150,2.39,2023
Stafford and Surroundings,Amlodipine,Cardiovascular,346,3924.55,13,103,2.47,2023
Cannock Chase,Gabapentin,General Medicine,242,139.36,29,162,2.19,2022
Stafford and Surroundings,Co-codamol,General Medicine,471,454.51,13,46,2.34,2024
Stafford and Surroundings,Quetiapine,Mental Health,490,3909.48,23,139,1.98,2022
Cannock Chase,Morphine Sulfate,General Medicine,148,4855.94,23,196,1.52,2024
Stafford and Surroundings,Bisoprolol,Cardiovascular,263,343.16,18,210,2.36,2024
Newcastle-under-Lyme,Prednisolone,General Medicine,280,4880.46,18,156,2.04,2023
Stoke-on-Trent,Ibuprofen,General Medicine,599,1731.89,21,201,1.71,2023
Stoke-on-Trent,Insulin Glargine,General Medicine,224,,16,59,2.44,2022
Stafford and Surroundings,Atorvastatin,Cardiovascular,589,4696.14,24,203,1.93,2024
Newcastle-under-Lyme,Quetiapine,Mental Health,87,2296.31,29,82,2.3,2022
Stoke-on-Trent,Atorvastatin,Cardiovascular,211,848.48,23,159,1.57,2024
Stafford and Surroundings,Gabapentin,General Medicine,279,2334.14,15,137,1.4,2023
Stoke-on-Trent,Naproxen,General Medicine,586,1351.51,27,51,2.44,2022
Stafford and Surroundings,Quetiapine,Mental Health,543,4524.21,22,93,1.68,2022
Newcastle-under-Lyme,Salbutamol,General Medicine,122,2180.69,17,206,1.88,2024
Stafford and Surroundings,Olanzapine,Mental Health,559,1866.61,24,85,2.25,2024
East Staffordshire,Gabapentin,General Medicine,481,1543.78,29,186,2.17,2024
Stoke-on-Trent,Tramadol,General Medicine,235,2132.02,17,209,2.26,2022
Stoke-on-Trent,Gabapentin,General Medicine,406,,12,118,1.86,2023
Stoke-on-Trent,Clopidogrel,Cardiovascular,538,,24,99,2.2,2022
Stoke-on-Trent,Sertraline,Mental Health,587,429.27,26,102,2.11,2024
Stoke-on-Trent,Quetiapine,Mental Health,285,1717.55,15,195,1.49,2024
Newcastle-under-Lyme,Amlodipine,Cardiovascular,79,4961.42,27,138,1.96,2024
Stafford and Surroundings,Losartan,Cardiovascular,229,250.84,25,60,1.63,2024
Cannock Chase,Aspirin,General Medicine,252,2857.01,25,152,2.2,2022
Stoke-on-Trent,Metformin,General Medicine,388,3328.05,22,94,1.77,2024
Cannock Chase,Insulin Glargine,General Medicine,552,2958.59,23,73,1.23,2024
Stafford and Surroundings,Hydrocortisone,General Medicine,464,,15,212,2.5,2022
Stafford and Surroundings,Citalopram,Mental Health,523,2020.03,23,77,1.45,2022
Cannock Chase,Morphine Sulfate,General Medicine,592,4519.01,10,211,2.49,2022
Stafford and Surroundings,Paracetamol,General Medicine,514,2813.8,15,138,2.24,2024
East Staffordshire,Losartan,Cardiovascular,250,3906.16,15,52,2.11,2023
Newcastle-under-Lyme,Diazepam,Mental Health,539,546.22,27,176,2.06,2022
Newcastle-under-Lyme,Citalopram,Mental Health,68,4624.58,18,140,1.97,2022
Stafford and Surroundings,Doxycycline,Antibiotics,394,1139.68,12,117,1.58,2024
Cannock Chase,Simvastatin,Cardiovascular,361,3302.65,23,214,2.17,2022
Cannock Chase,Sertraline,Mental Health,298,1904.72,18,194,2.13,2024
Stoke-on-Trent,Amoxicillin,Antibiotics,193,2155.74,27,61,2.36,2024
Stafford and Surroundings,Co-codamol,General Medicine,216,4963.69,19,46,1.85,2024
Stafford and Surroundings,Citalopram,Mental Health,395,2740.21,19,56,2.35,2023
Stafford and Surroundings,Levothyroxine,General Medicine,297,2171.17,18,125,1.33,2022
East Staffordshire,Naproxen,General Medicine,141,3665.78,28,123,1.94,2024
Stoke-on-Trent,Amlodipine,Cardiovascular,514,2432.04,25,125,1.7,2022
Cannock Chase,Aspirin,General Medicine,396,1611.98,23,87,2.35,2022
Stoke-on-Trent,Bisoprolol,Cardiovascular,565,259.05,13,217,1.26,2022
East Staffordshire,Simvastatin,Cardiovascular,415,418.53,11,216,1.32,2023
Stafford and Surroundings,Quetiapine,Mental Health,459,1507.34,23,53,1.57,2024
Stoke-on-Trent,Citalopram,Mental Health,238,1287.4,29,113,1.55,2023
Stoke-on-Trent,Morphine Sulfate,General Medicine,193,3683.63,14,137,2.18,2024
East Staffordshire,Co-codamol,General Medicine,578,4297.18,14,52,1.42,2022
East Staffordshire,Hydrocortisone,General Medicine,247,2680.55,21,142,1.43,2022
Cannock Chase,Clopidogrel,Cardiovascular,513,3640.97,10,184,2.04,2022
Newcastle-under-Lyme,Warfarin,Cardiovascular,153,1761.53,22,216,2.23,2024
Stafford and Surroundings,Fluoxetine,Mental Health,289,2979.05,14,76,1.2,2024
Newcastle-under-Lyme,Losartan,Cardiovascular,321,1423.01,29,116,1.78,2023
Stoke-on-Trent,Montelukast,General Medicine,508,1629.39,20,192,2.07,2023
Newcastle-under-Lyme,Salbutamol,General Medicine,378,143.19,14,207,1.37,2022
Cannock Chase,Amoxicillin,Antibiotics,455,3390.14,15,199,1.29,2023
East Staffordshire,Quetiapine,Mental Health,385,3323.63,15,106,1.97,2022
Newcastle-under-Lyme,Lansoprazole,General Medicine,488,3811.8,20,135,2.36,2022
Cannock Chase,Ramipril,Cardiovascular,579,3637.9,28,59,1.37,2023
Newcastle-under-Lyme,Methotrexate,General Medicine,599,2585.3,28,53,1.46,2024
Stoke-on-Trent,Metformin,General Medicine,312,4812.17,23,173,2.05,2023
East Staffordshire,Olanzapine,Mental Health,271,2409.7,29,119,1.96,2023
Newcastle-under-Lyme,Paracetamol,General Medicine,346,4897.61,23,172,1.34,2022
Cannock Chase,Tramadol,General Medicine,128,2828.31,28,61,2.43,2022
Cannock Chase,Bisoprolol,Cardiovascular,560,629.92,27,185,2.18,2023
Stoke-on-Trent,Sertraline,Mental Health,184,2413.77,21,49,2.16,2024
Cannock Chase,Warfarin,Cardiovascular,542,4184.34,28,57,1.31,2023
East Staffordshire,Sertraline,Mental Health,580,1131.84,13,105,2.15,2023
Cannock Chase,Losartan,Cardiovascular,82,3484.27,18,113,1.48,2024
Stoke-on-Trent,Simvastatin,Cardiovascular,229,1630.79,29,43,1.99,2022
East Staffordshire,Insulin Glargine,General Medicine,488,2131.15,20,52,2.05,2022
Stafford and Surroundings,Aspirin,General Medicine,248,3137.83,27,211,1.56,2023
Newcastle-under-Lyme,Losartan,Cardiovascular,226,,27,74,2.4,2022
Cannock Chase,Methotrexate,General Medicine,104,1227.42,12,47,1.96,2022
Stafford and Surroundings,Simvastatin,Cardiovascular,597,374.79,22,81,1.52,2022
Stafford and Surroundings,Lansoprazole,General Medicine,60,4833.37,27,202,2.38,2024
Stoke-on-Trent,Lansoprazole,General Medicine,261,1815.35,20,131,2.4,2022
Stafford and Surroundings,Ibuprofen,General Medicine,579,2097.93,22,172,1.83,2024
Stafford and Surroundings,Lansoprazole,General Medicine,589,4468.13,19,120,2.43,2024
Stafford and Surroundings,Fluoxetine,Mental Health,357,3374.97,13,195,2.12,2023
Stafford and Surroundings,Salbutamol,General Medicine,144,2849.49,17,43,1.37,2023
East Staffordshire,Co-codamol,General Medicine,57,3424.13,18,54,1.82,2022
Newcastle-under-Lyme,Simvastatin,Cardiovascular,132,1861.28,16,173,1.96,2022
East Staffordshire,Morphine Sulfate,General Medicine,384,2777.96,19,146,2.33,2023
Stafford and Surroundings,Metformin,General Medicine,398,4968.81,27,160,1.53,2023
Stafford and Surroundings,Prednisolone,General Medicine,62,4627.98,24,190,2.11,2024
Newcastle-under-Lyme,Atorvastatin,Cardiovascular,102,4543.68,11,107,1.39,2022
Stoke-on-Trent,Azithromycin,Antibiotics,344,,28,148,1.74,2023
Cannock Chase,Levothyroxine,General Medicine,517,4731.43,21,205,1.95,2024
Newcastle-under-Lyme,Nitrofurantoin,Antibiotics,370,2359.59,24,199,1.42,2023
Stafford and Surroundings,Tramadol,General Medicine,431,2742.81,13,190,1.53,2023
Cannock Chase,Doxycycline,Antibiotics,174,629.94,24,140,2.05,2023
Stafford and Surroundings,Co-codamol,General Medicine,268,501.12,26,71,1.66,2024
Cannock Chase,Paracetamol,General Medicine,339,323.2,13,122,1.56,2023
Newcastle-under-Lyme,Levothyroxine,General Medicine,256,4113.91,23,48,1.7,2023
East Staffordshire,Diazepam,Mental Health,72,2404.15,17,174,2.23,2022
East Staffordshire,Codeine,General Medicine,549,1728.32,23,47,1.21,2024
Stoke-on-Trent,Atorvastatin,Cardiovascular,80,1435.48,15,196,2.23,2024
East Staffordshire,Morphine Sulfate,General Medicine,338,1532.22,13,179,1.94,2022
Newcastle-under-Lyme,Doxycycline,Antibiotics,534,4648.26,13,188,1.47,2024
Newcastle-under-Lyme,Prednisolone,General Medicine,122,,10,115,1.78,2023
East Staffordshire,Amoxicillin,Antibiotics,475,3900.71,15,45,1.7,2022
Stafford and Surroundings,Paracetamol,General Medicine,136,1354.33,15,190,1.35,2023
Stafford and Surroundings,Codeine,General Medicine,154,199.07,21,61,2.22,2022
Stafford and Surroundings,Prednisolone,General Medicine,256,893.91,14,178,2.18,2023
Cannock Chase,Atorvastatin,Cardiovascular,251,3393.31,17,141,1.89,2024
Stafford and Surroundings,Fluoxetine,Mental Health,320,1122.85,10,127,1.47,2023
Stoke-on-Trent,Montelukast,General Medicine,288,1472.26,23,186,1.46,2022
East Staffordshire,Quetiapine,Mental Health,416,2960.78,25,197,2.39,2024
Cannock Chase,Salbutamol,General Medicine,470,3747.63,17,168,1.45,2024
Stafford and Surroundings,Diazepam,Mental Health,389,3723.6,22,44,1.99,2023
East Staffordshire,Aspirin,General Medicine,489,4518.1,25,93,1.38,2023
Newcastle-under-Lyme,Nitrofurantoin,Antibiotics,162,1447.77,26,215,2.07,2023
Stafford and Surroundings,Montelukast,General Medicine,392,1501.01,15,195,1.74,2023
Stafford and Surroundings,Ramipril,Cardiovascular,226,4719.58,10,68,2.02,2024
Stafford and Surroundings,Pregabalin,General Medicine,532,2692.61,15,106,1.85,2022
Newcastle-under-Lyme,Morphine Sulfate,General Medicine,302,1782.43,15,82,2.45,2024
Stoke-on-Trent,Amlodipine,Cardiovascular,294,3018.84,26,78,1.63,2023
Stoke-on-Trent,Prednisolone,General Medicine,79,221.89,28,47,1.59,2024
East Staffordshire,Losartan,Cardiovascular,126,3661.0,23,140,2.41,2023
Cannock Chase,Quetiapine,Mental Health,504,834.48,25,194,1.59,2024
Stafford and Surroundings,Cetirizine,General Medicine,163,3060.77,28,85,2.46,2023
Cannock Chase,Olanzapine,Mental Health,99,1189.23,24,91,2.12,2023
Stafford and Surroundings,Prednisolone,General Medicine,369,2427.95,18,176,1.37,2022
Cannock Chase,Amoxicillin,Antibiotics,547,1803.56,28,181,1.27,2023
Newcastle-under-Lyme,Ramipril,Cardiovascular,65,4939.59,17,145,1.39,2022
Newcastle-under-Lyme,Aspirin,General Medicine,130,3682.95,17,105,2.32,2024
East Staffordshire,Pregabalin,General Medicine,108,193.58,12,56,2.29,2023
Newcastle-under-Lyme,Methotrexate,General Medicine,366,4186.55,10,184,1.85,2023
East Staffordshire,Ramipril,Cardiovascular,204,872.3,25,49,1.42,2023
Stoke-on-Trent,Sertraline,Mental Health,332,4370.92,12,51,1.39,2022
East Staffordshire,Pregabalin,General Medicine,140,,17,118,2.22,2024
Stafford and Surroundings,Ramipril,Cardiovascular,284,2989.92,12,118,2.42,2023
Stoke-on-Trent,Azithromycin,Antibiotics,75,2833.71,17,89,1.95,2023
Stoke-on-Trent,Pregabalin,General Medicine,95,2222.07,12,68,2.12,2023
Stafford and Surroundings,Paracetamol,General Medicine,107,2184.61,10,100,1.26,2023
Newcastle-under-Lyme,Montelukast,General Medicine,507,4906.13,22,189,2.02,2024
Newcastle-under-Lyme,Citalopram,Mental Health,158,3691.82,17,160,2.46,2023
Stafford and Surroundings,Amlodipine,Cardiovascular,310,361.41,16,112,1.86,2023
Stoke-on-Trent,Gabapentin,General Medicine,242,2141.87,26,148,1.6,2024
Newcastle-under-Lyme,Salbutamol,General Medicine,308,1940.96,24,124,1.54,2023
Stoke-on-Trent,Amlodipine,Cardiovascular,501,4173.49,13,196,1.82,2022
Stoke-on-Trent,Insulin Glargine,General Medicine,295,739.99,24,102,2.41,2023
Newcastle-under-Lyme,Pregabalin,General Medicine,83,584.48,16,106,2.02,2024
Newcastle-under-Lyme,Simvastatin,Cardiovascular,483,,19,71,1.56,2022
Cannock Chase,Pregabalin,General Medicine,589,2210.73,23,211,2.38,2024
Stoke-on-Trent,Azithromycin,Antibiotics,593,1264.72,18,195,2.07,2022
East Staffordshire,Insulin Glargine,General Medicine,165,1386.06,12,208,1.76,2022
Cannock Chase,Fluoxetine,Mental Health,514,3657.92,24,75,1.71,2023
Stafford and Surroundings,Lansoprazole,General Medicine,357,2756.8,19,212,2.43,2023
East Staffordshire,Tramadol,General Medicine,187,1539.01,18,115,2.45,2024
Newcastle-under-Lyme,Azithromycin,Antibiotics,546,647.02,20,155,2.08,2024
Stoke-on-Trent,Clopidogrel,Cardiovascular,299,4218.63,18,206,2.01,2024
Newcastle-under-Lyme,Paracetamol,General Medicine,159,4662.54,12,110,1.38,2024
Newcastle-under-Lyme,Pregabalin,General Medicine,577,4287.37,25,70,1.29,2022
Stoke-on-Trent,Aspirin,General Medicine,581,3806.74,15,47,2.22,2022
Cannock Chase,Hydrocortisone,General Medicine,472,1199.4,29,63,2.12,2023
Cannock Chase,Co-codamol,General Medicine,483,695.4,25,172,2.43,2023
Stoke-on-Trent,Gabapentin,General Medicine,293,4770.57,23,151,1.99,2024
Newcastle-under-Lyme,Pregabalin,General Medicine,154,4318.56,28,97,1.31,2023
Stoke-on-Trent,Atorvastatin,Cardiovascular,541,643.69,24,86,2.18,2023
Cannock Chase,Montelukast,General Medicine,462,2273.86,27,91,1.6,2024
Newcastle-under-Lyme,Morphine Sulfate,General Medicine,212,,27,166,1.74,2024
Newcastle-under-Lyme,Diazepam,Mental Health,414,2675.19,17,54,1.58,2024
Newcastle-under-Lyme,Aspirin,General Medicine,65,840.35,24,143,1.61,2024
Stoke-on-Trent,Nitrofurantoin,Antibiotics,246,3546.2,28,125,1.37,2023
Stafford and Surroundings,Prednisolone,General Medicine,266,4208.22,12,125,2.22,2023
Stoke-on-Trent,Losartan,Cardiovascular,586,2052.2,13,191,1.26,2024
Stoke-on-Trent,Levothyroxine,General Medicine,461,2346.05,25,55,2.41,2023
Stoke-on-Trent,Sertraline,Mental Health,430,3606.81,21,77,2.2,2023
East Staffordshire,Fluoxetine,Mental Health,123,701.28,24,142,1.66,2022
Stafford and Surroundings,Ibuprofen,General Medicine,550,1968.2,27,68,2.44,2023
Cannock Chase,Naproxen,General Medicine,363,1922.11,18,213,2.22,2023
East Staffordshire,Methotrexate,General Medicine,558,2913.92,23,216,2.35,2024
Stafford and Surroundings,Amoxicillin,Antibiotics,63,4962.02,26,42,1.89,2022
Cannock Chase,Paracetamol,General Medicine,582,4446.24,15,161,2.18,2022
Newcastle-under-Lyme,Quetiapine,Mental Health,381,2289.89,29,176,1.26,2022
East Staffordshire,Montelukast,General Medicine,162,675.61,16,189,1.92,2024
Cannock Chase,Citalopram,Mental Health,515,1730.58,10,137,1.46,2024
East Staffordshire,Fluoxetine,Mental Health,146,2730.82,11,156,1.53,2023
Stafford and Surroundings,Morphine Sulfate,General Medicine,230,2517.88,19,168,1.34,2023
Newcastle-under-Lyme,Quetiapine,Mental Health,70,1123.3,28,43,1.56,2022
East Staffordshire,Co-codamol,General Medicine,306,3598.87,17,120,1.41,2024
Cannock Chase,Quetiapine,Mental Health,437,1295.91,10,136,1.72,2022
Stafford and Surroundings,Sertraline,Mental Health,442,4070.01,13,148,1.3,2024
Stoke-on-Trent,Ramipril,Cardiovascular,323,2215.41,24,120,1.87,2024
Stafford and Surroundings,Nitrofurantoin,Antibiotics,566,1183.99,29,215,1.41,2023
Cannock Chase,Insulin Glargine,General Medicine,278,1550.8,21,72,2.16,2023
East Staffordshire,Salbutamol,General Medicine,120,,12,136,2.33,2024
Cannock Chase,Lansoprazole,General Medicine,194,2436.3,26,133,1.56,2023
Newcastle-under-Lyme,Doxycycline,Antibiotics,334,4489.69,13,202,1.34,2024
Cannock Chase,Insulin Glargine,General Medicine,313,4710.23,11,207,1.65,2024
East Staffordshire,Diazepam,Mental Health,597,552.87,25,126,1.45,2022
Stafford and Surroundings,Pregabalin,General Medicine,591,740.06,27,145,2.5,2023
Newcastle-under-Lyme,Quetiapine,Mental Health,95,3724.55,27,180,1.42,2023
Stoke-on-Trent,Hydrocortisone,General Medicine,345,2229.98,28,123,1.24,2023
Newcastle-under-Lyme,Losartan,Cardiovascular,427,4631.07,29,121,1.36,2023
Stoke-on-Trent,Morphine Sulfate,General Medicine,306,3985.27,11,165,1.82,2022
Newcastle-under-Lyme,Hydrocortisone,General Medicine,591,4944.51,29,183,1.72,2022
East Staffordshire,Olanzapine,Mental Health,448,262.95,26,219,1.84,2022
Stoke-on-Trent,Atorvastatin,Cardiovascular,338,100.77,29,171,1.77,2023
East Staffordshire,Nitrofurantoin,Antibiotics,202,3038.55,18,56,1.51,2022
Stafford and Surroundings,Metformin,General Medicine,508,2455.04,20,49,1.88,2022
Cannock Chase,Quetiapine,Mental Health,425,4790.85,23,188,2.14,2022
Cannock Chase,Aspirin,General Medicine,303,4947.0,15,126,1.61,2023
Stoke-on-Trent,Atorvastatin,Cardiovascular,489,601.76,24,175,1.97,2023
Newcastle-under-Lyme,Cetirizine,General Medicine,524,3742.56,25,108,2.23,2023
Cannock Chase,Montelukast,General Medicine,337,4462.95,10,164,2.32,2024
Newcastle-under-Lyme,Olanzapine,Mental Health,519,582.09,27,87,1.37,2023
Newcastle-under-Lyme,Cetirizine,General Medicine,357,4237.39,11,130,1.41,2024
Newcastle-under-Lyme,Insulin Glargine,General Medicine,477,2986.67,21,216,1.78,2022
East Staffordshire,Paracetamol,General Medicine,444,4378.9,26,147,1.72,2022
Cannock Chase,Omeprazole,General Medicine,302,3506.87,17,59,1.94,2023
East Staffordshire,Prednisolone,General Medicine,56,2202.58,13,172,2.09,2024
Stafford and Surroundings,Nitrofurantoin,Antibiotics,79,285.14,29,206,2.08,2022
Stoke-on-Trent,Citalopram,Mental Health,411,516.35,11,108,2.23,2022
Stafford and Surroundings,Amoxicillin,Antibiotics,97,1712.77,18,40,2.01,2024
Stafford and Surroundings,Paracetamol,General Medicine,65,446.99,21,173,1.28,2023
Stafford and Surroundings,Hydrocortisone,General Medicine,208,1946.02,10,168,2.45,2022
Cannock Chase,Naproxen,General Medicine,116,339.23,11,174,2.01,2022
East Staffordshire,Quetiapine,Mental Health,533,4237.59,26,42,2.25,2022
Stafford and Surroundings,Olanzapine,Mental Health,506,1716.1,23,94,1.72,2022
Stafford and Surroundings,Diazepam,Mental Health,502,707.01,12,112,1.45,2022
Stoke-on-Trent,Aspirin,General Medicine,484,3403.73,18,190,2.34,2023
Stafford and Surroundings,Olanzapine,Mental Health,258,217.41,16,56,1.27,2023
East Staffordshire,Doxycycline,Antibiotics,210,464.22,19,92,1.91,2022
East Staffordshire,Methotrexate,General Medicine,246,1298.09,20,56,2.17,2024
Stoke-on-Trent,Hydrocortisone,General Medicine,185,2093.63,11,90,2.09,2023
Stafford and Surroundings,Diazepam,Mental Health,306,4263.41,29,93,2.14,2024
Newcastle-under-Lyme,Losartan,Cardiovascular,379,4118.29,17,177,2.23,2024
East Staffordshire,Lansoprazole,General Medicine,515,2323.88,12,101,1.95,2024
Cannock Chase,Doxycycline,Antibiotics,234,2371.21,19,105,1.35,2024
Stafford and Surroundings,Methotrexate,General Medicine,350,1803.59,10,106,1.33,2023
Newcastle-under-Lyme,Ibuprofen,General Medicine,498,2315.7,12,108,1.4,2022
Stoke-on-Trent,Ramipril,Cardiovascular,582,734.07,16,46,1.29,2023
Stafford and Surroundings,Naproxen,General Medicine,96,1154.64,27,125,1.4,2023
Newcastle-under-Lyme,Azithromycin,Antibiotics,213,4737.86,22,55,2.32,2022
Stoke-on-Trent,Co-codamol,General Medicine,523,1455.93,22,211,1.25,2024
East Staffordshire,Amoxicillin,Antibiotics,486,618.32,14,88,2.27,2022
Stoke-on-Trent,Tramadol,General Medicine,182,3231.81,16,173,2.42,2022
Newcastle-under-Lyme,Levothyroxine,General Medicine,267,1624.84,20,175,1.85,2022
Stoke-on-Trent,Tramadol,General Medicine,296,3327.25,22,176,1.96,2024
East Staffordshire,Montelukast,General Medicine,122,1397.36,19,100,1.37,2023
Stoke-on-Trent,Gabapentin,General Medicine,387,597.72,10,106,1.69,2022
Cannock Chase,Olanzapine,Mental Health,522,2796.45,28,139,1.62,2022
Newcastle-under-Lyme,Tramadol,General Medicine,578,261.25,11,75,1.33,2023
